plate,review_reason_code,customer_meaning,reviewer_comments,status
AZIZ714,2.0,LAST NAME,714 AREA CODE,N
BATBOX1,1.0,BATMOBILE (BATMAN) PLUS SHAPE OF VEHICLE (SCION XB),BOX,N
BBOMBS,2.0,,BOMBS,N
BEACHY1,4.0,LOVE THE BEACH,BEACHY LOOKS LIKE BITCHY 1,N
BLK PWR5,2.0,STRENGTH OF FAMILY,BLACK POWER,N
CHERIPI,1.0,CHERRY PIE,CHERRY PIE,N
CIO FTW,4.0,,FUCK THE WORLD,N
DAVES88,2.0,DAVES 1988 TOYOTA,88 HITLER REFRENCE,N
DMOBGFY,2.0,GREEK SLANG FOR I LOVE YOU,MOB,N
DOITFKR,4.0,DO IT,DO IT FUCKER,N
EGGPUTT,2.0,,SLANG FOR FAT GUY PER URBAN DICTIONARY,Y
F DIABDZ,2.0,IT MEANS FOREVER DIABETES. ITS ARE DIABETES FOUNDATION WE WALK EVERY YEAR.,FUCK DIABETES,N
FJ 666,2.0,FJ IS MY BORN CITY.666IS MY LUCKLY NUMBER,666 EVIL,Y
FKK OFF,2.0,FREIKÖRPER-KULTUR (GERMAN),FUCK OFF,N
FKN BLAK,2.0,"FKN IS INITIALS FOR MY 3 GREAT GRANDMAS FRANCINE, KAREN AND ""N"" FOR NANNY. AND THE WORD BLAK ""BLACK"" BECAUSE MY CAR APPEARS BLACK",FUCKING BLACK,N
FLT ATCK,2.0,,FLAT ATTACK,N
F LUPUS,2.0,FIGHT LUPUS,FUCK LUPUS,N
HVNNHEL,2.0,ALBUM TITLE,HEAVEN AND HELL,Y
H8DES,2.0,FAVORITE GREEK MYTH,HATE DES,N
ILL NKA,2.0,"""ILL"" POPULAR TERM IN THE 90'S MEANING COOL. ""NKA"" SHORTER FOR MY NICKNAME 'NEIKA'.",ILL NIGGA,N
KISMI S,2.0,MY NICKNAME IS KISMMIE AND MY REAL NAME STARTS WITH AN S,KISS MY ASS,N
LHGLA88,2.0,TRAVEL THROUGH LOS ANGELES,88 HITLER REFERENCE,N
MMA515O,2.0,MIXED MARTIAL ARTS,5150 CRAZY,Y
MTN SCAT,2.0,MOUNTAIN SCAT PACK,SCAT SHIT,N
OAK KLAN,2.0,CITY I GREW UP IN.,KLAN,N
PORKS15,5.0,,PORKS PIG,N
POT POM,2.0,,POT,N
PSYCDVA,1.0,PSYCHOLOGIST DIVA,PSY LOOKS LIKE PUSSY OR COULD BE PSYCHIC,N
PSYKD,1.0,PSYCHED,PSY LOOKS LIKE PUSSY OR COULD BE PSYCHED,N
ROBO 911,5.0,ROBO IS MY NICK NAME AND 911 FOR THE CAR ITS GOING ON,911 EMERGENCY,N
SHTYMNI,2.0,SHORTY MINI,SHITTY MINI,N
1MONGO,2.0,OUR SON'S NICKNAME IS MONGO. IT'S FOR HIS FIRST CAR.,LOOKS LIKE MONGOL THE MOTORCYCLE GANG,N
173D82D,2.0,,CAN NOT TRANSLATE,Y
67 PINK,1.0,,PINK,N
707IRON,2.0,WEIGHT TRAINING REFERENCE SONOMA COUNTY,707 AREA CODE,N
MI HYNA,2.0,,GANGSTER GIRL OR CHOLA,N
DAD$PP,2.0,MY DAD LOVES ME AND GOT ME A NEW CAR,PP AS IN URINE,N
GAMMI$G,2.0,GRANDMA GOOLSBY,G AS IN GANGSTER,Y
G$DSKK,2.0,GRAM LOVES DOMINIC SOPHIE KAILANI KEANU. MY GRANDKIDS,G AS IN GANGSTER,Y
FN2IB7,2.0,FN2187 IS A STAR WARS CHARACTER AND I AM A VETERAN,LOOKS LIKE EFFIN,N
CAN BITE,1.0,,CAN BITE,N
FRESD18,2.0,,18 HITLER,N
KILLAHB,2.0,LOVE THE MOVIE,KILLAH B,N
KILLAHW,2.0,LOVE THE MOVIE,KILLA,N
NO GAS X,2.0,ALL ELECTRIC CAR MODEL X,GAS,Y
TTNISMO,2.0,TWIN TURBO NISMO,TT AS IN BREAST,Y
1FD MOM,1.0,ONE FIRE DEPARTMENT MOM,FD LOOKS LIKE EFFED,N
88 VERT,2.0,1988 CONVERTIBLE,88 HITLER REFERENCE,N
HB 707,2.0,MOTORCYCLE CLUB,707 AREA CODE,N
ELIKA13,2.0,ERIC IN HAWAIIAN AND LUCKY NUMBER,13 GANG REFERENCE,N
BAD FN68,3.0,BAD FUN 68,BAD FUCKIN 68,N
BRUJO 13,7.0,BACK IN HIGH SCHOOL MY NICKNAME WAS BRUJO AND MY FAVORITE NUMBER IS 13,13-GANG,N
C4 MILES,7.0,SEE FOR MILES,SEE FOR MILES… C4-BOMB,N
DAAFAK,3.0,MY SON'S NAME,THE FUCK,N
DATT ASS,1.0,POINTING OUT HOW GOOD THE REAR END OF MY CAR LOOKS,THAT ASS,N
DNKY PCH,1.0,DOWN COUNTRY PUNCH IS A DRINK THAT MY FAMILY MAKES AND IS KNOWN FOR,DONKEY PUNCH,N
FCUK BOI,3.0,FANBOY FOR FRENCH CONNECTION AND DESIGNER APPAREL,FUCK BOY,N
