plate,reviewer_comments
2day,today
2m2h,too much too handle
2moro,tomorrow
2nite,tonight
4eae,for ever and ever
aaf,as a friend
aar,at any rate
aayf,as always your friend
abd,already been done
ack,acknowledge
adih,another day in hell
adn,any day now
adr,address
aeap,as early as possible
afaic,as far as i am concerned
afaik,as far as i know
aka,also known as
ama,ask me anything
ambw,all my best wishes
aml,all my love
aota,all of the above
asap,as soon as possible
atb,all the best
ateotd,at the end of the day
atm,at the moment
awol,absent without leave
aydy,are you done yet
ayec,at your earliest convenience
ayor,at your own risk
ays,are you serious
aysos,are you stupid or something
ayt,are you there
b/c,because
b4,before
b4n,bye for now
bau,business as usual
bbiaf,be back in a few
bbiam,be back in a minute
bbias,be back in a sec
bbs,be back soon
bbt,be back tomorrow
bcnu,be seeing you
bcoy,big crush on you
bd,big deal
bf,boy friend
bfaw,best friend at work
bfd,big freaking deal
bff,best friends forever
bffn,best friend for now
bfn,bye for now
bg,big grin
bgwm,be gentle with me
bhl8,be home late
bib,boss is back
bn,bad news
bol,be on later
bot,back on topic
boyf,boyfriend
brb,be right back
brh,be right here
bro,brother
brt,be right there
bt,but
btw,by the way
byoc,bring your own computer
cmb,call me back
cmiiw,correct me if i am wrong
cob,close of business
csl,cannot stop laughing
cu,see you
cua,see you around
cul,see you later
cwyl,chat with you later
cya,cover your ass
cye,check your e mail
cyo,see you online
dkdc,do not know do not care
dm,direct message
dts,do not think so
dur,do you remember
dwbh,do not worry be happy
e1,everyone
ef4t,effort
eod,end of discussion
f2f,face to face
ftf,face to face
faq,frequently asked questions
fb,facebook
ff,follow friday
fish,first in still here
fitb,fill in the blank
ftbomh,from the bottom of my heart
ftl,for the loss
ftw,for the win
fwb,friend with benefits
fwiw,for what it is worth
fyeo,for your eyes only
fyi,for your information
g4c,going for coffee
ga,go ahead
gac,get a clue
gas,greetings and salutations
gb,goodbye
gbu,god bless you
gf,girl friend
gfn,gone for now
glhf,good luck have fun
gmta,great minds think alike
gnite,good night
gr8,great
gratz,congratulations
grl,girl
gtsy,good to see you
h&k,hugs and kisses
h2cus,hope to see you soon
h8,hate
hag1,have a good one
hagn,have a good night
hand,have a nice day
hawt,have a wonderful day
hmb,hit be back
hmu,hit me up
hoas,hold on a second
hru,how are you
ht,hat tip or heard through
hth,hope this helps
hw,homework
iac,in any case
iae,in any event
ianal,i am not a lawyer
iao,i am out
ic,i see
icymi,in case you missed it
idc,i do not care
ihni,i have no idea
iirc,if i remember correctly
ikr,i know right
ily,i love you
im,instant message
imho,in my humble opinion
imo,in my opinion
ims,i am sorry
irl,in real life
isly,i still love you
iso,in search of
iu2u,it is up to you
iykwim,if you know what i mean
j/k,just kidding
j4f,just for fun
jff,just for fun
jic,just in case
jlmk,just let me know
jmo,just my opinion
jsyk,just so you know
jw,just wondering
k,okay
kk,okay
kiss,keep it simple stupid
kit,keep in touch
l8,late
l8r,later
lho,laughing head off
lmao,laughing my ass off
lmbo,laughing my butt off
lmk,let me know
lol,lots of love
lol,laughing out loud
loti,laughing on the inside
ltns,long time no see
lylas,love you like a sister
lysm,love you so much
mc,merry christmas
mgmt,management
mm,music monday
msm,mainstream media
mu,miss you
myob,mind your own business
nagi,not a good idea
nfm,not for me
nfs,not for sale
nm,nothing much
nm,not much
noyb,none of your business
np,no problem
nsfl,not safe for life
nsfw,not safe for work
nts,note to self
nvm,never mind
oh,overheard
oic,oh i see
omg,oh my god
omw,on my way
orly,oh really
ot,off topic
otb,off to bed
otoh,on the other hand
otp,on the phone
ott,over the top
paw,parents are watching
pcm,please call me
pls,please
pov,point of view
ppl,people
ptb,please text back
ptmm,please tell me more
qq,crying
rak,random act of kindness
rbtl,read between the lines
rip,rest in peace
rl,real life
rofl,rolling on the floor laughing
rt ,real time
rtm,read the manual
rys,are you single
sby,somebody
sfaik,so far as i know
sh,shit happens
simyc,sorry i missed your call
sis,sister
sitd,still in the dark
smh,shaking my head
sol,sooner or later
srsly,seriously
sry,sorry
ssdd,same stuff different day
stby,sucks to be you
swak,sealed  with a kiss
swyp,so what is your problem
tafn,that is all for now
tba,to be announced
tbc,to be continued
tbh,to be honest
tbl,text back later
tcb,take care of business
tfh,thread from hell
tfs,thanks for sharing
tfti,thanks for the invitation
tgif,thank god it is friday
thx,thanks
tia,thanks in advance
tiad,tomorrow is another day
time,tears in my eyes
tlc,tender loving care
tlk2ul8r,talk to you later
tmi,too much information
tmrw,tomorrow
ttyl,talk to you later
ttys,talk to you soon
tyfyc,thank you for your comment
tyvm,thank you very much
u4e,you forever
ur,your
vat,value added tax
vbg,very big grin
vsf,very sad face
wam,wait a minute
wb,welcome back
wc,who cares
we,whatever
weg,wicked evil grin
witp,what is the point
wknd,weekend
wtf,what the fuck
wth,what the heck
wtpa,where the party at
wuf,where are you from
wycm,will you call me
wywh,wish you were here
xlnt,excellent
xoxo,hugs and kisses
ycmu,you crack me up
ygm,you have got mail
ymmv,your mileage may vary
yolo,you only live once
ytb,you are the best
yw,you are welcome
ywsyls,you win some you lose some
aab,average at best
aac,apple audio compression
aaf,always and forever
aak,alive and kicking
aamof,as a matter of fact
aap,always a pleasure
aar,at any rate
aarp,american association of retired persons
aat,and another thing at all times
aawy,and also with you
aayf,as always your friend
abc,american born chinese
abd,already been done
abdc,americas best dance crew 
abf,all but face
abfab,absolutely fabulous
abg,asian baby girl
abh,actual bodily harm
abp,already been posted
abu,anyone but  united
ac,air conditioning alternating current
aclu,american civil liberties union
acme,a company that makes everything
acp,automatic colt pistol
acta,anti counterfeiting trade agreement
acu,army combat uniform
ad,anno domini 
adad,another day another dollar
add,attention deficit disorder
aded,all day every day
adgth,all dogs go to heaven
adhd,attention deficit hyperactivity disorder
adl,all day long
adn,any day now
adr,all due respect
ads,aim down sights
adsl,asymmetric digital subscriber line
adtr,a day to remember 
ae,american eagle 
aeae,and ever and ever
aeap,as early as possible
afaia,as far as i am aware
afaiaa,as far as i am aware
afaiac,as far as i am concerned
afaic,as far as i am concerned
afaics,as far as i can see
afaict,as far as i can tell
afaik,as far as i know
afair,as far as i remember
afap,as far as possible
afc,away from computer
affa,angels forever forever angels
afi,a fire inside 
afk,away from keyboard
afl,australian football league
afn,all for now
afp,away from phone
afrl,away from real life
afs,always forever and seriously
agc,automatic gain control
agh,are not going to happen
agm,annual general meeting
agp,accelerated graphics port
agt,americas got talent 
agw,all going well
ai,artificial intelligence as if
aib,am i boverd
aids,acquired immune deficiency syndrome
aigf,all in good fun
aiic,as if i care
aikrn,all i know right now
aimh,always in my heart
ainec,and it is not even close
aio,all in one
aisb,as i said before
aisi,as i see it
aitr,adult in the room
aityd,and i think you do
aiui,as i understand it
aiyc,as if you care
aj,apple juice
aktf,always keep the faith
alf,animal liberation front
alg,are not life grand
alihal,at least i have a life
alkqn,almighty latin king and queen nation
alol,actually laughing out loud
alotbsol,always look on the bright side of life
alu,arithmetic logic unit
alwp,actual laughter was produced
am,ante meridiem  amplitude modulation 
ama,ask me anything against medical advice
amaa,ask me almost anything
amap,as much as possible
amc,american motors corportation
amd,advanced micro devices
amg,ah my god
aml,all my love
amn,any minute now
amof,as a matter of fact
amog,alpha male of group
amt,alpha methyltryptamine
amv,anime music video
amw,americas most wanted 
an,authors note
anc,african national congress
anfawfos,and now for a word from our sponsor
anfscd,and now for something completely different
ansi,american national standards institute
antm,americas next top model
anzac,australian and new zealand army corps
ao,adults only
aob,any other business
aod,all of day
aoe,area of effect
aok,age of kings  all ok
aom,age of mythology 
aon,all or nothing as of now
aos,ahead of schedule
aot,as opposed to among other things
aota,all of the above
aots,attack of the show 
aow,all out war
aoyp,angel on your pillow
ap,associated press
apb,all points bulletin
apc,armoured personnel carrier
api,application programming interface
apm,actions per minute
apn,as per normal
apo,authorized personnel only
apu,as per usual
apyr,as per your request
aq,adventure quest 
aqap,as quickly as possible
aqf,ay que funny
ar,assault rifle
ark,act of random kindness
arpa,advanced research projects agency 
arpanet,advanced research projects agency network 
arpu,average revenue per user
asaic,as soon as i can
asaik,as soon as i know
asap,as soon as possible
asas,as soon as sensible
asat,as simple as that
asayc,as soon as you can
asbo,anti social behaviour order
ascii,american standard code for information interchange
aspca,american society for the prevention of cruelty to animals
at&t,american telephone and telegraph
ata,ait to air actual time of arrival
atap,any time any place
atb,all the best
atc,air traffic control
atd,attention to detail
ateotd,at the end of the day
atf,all time favorite
atgatt,all the gear all the time 
ath,all time high
atm,at the moment automated teller machine 
atmo,according to my opinion
atn,any time now
atoy,always thinking of you
atq,answer the question
atst,at the same time
att,at this time all the time
attt,are not that the truth
atv,all terrain vehicle
atvb,all the very best
atw,all the way
atwa,air trees water animals  all the way alive
bac,back at computer blood alcohol content by any chance
bacs,bankers automated clearing system
